target-word,block,transparency,vot_step,video
BARK,training,5,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_BARK5.mp4
BARK,training,40,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_BARK40.mp4
BARK,training,60,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_BARK60.mp4
BARK,training,100,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_BARK100.mp4
PARK,training,5,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_PARK5.mp4
PARK,training,40,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_PARK40.mp4
PARK,training,60,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_PARK60.mp4
PARK,training,100,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_PARK100.mp4
DART,training,5,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_DART5.mp4
DART,training,40,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_DART40.mp4
DART,training,60,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_DART60.mp4
DART,training,100,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_DART100.mp4
TART,training,5,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_TART5.mp4
TART,training,40,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_TART40.mp4
TART,training,60,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_TART60.mp4
TART,training,100,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_TART100.mp4
GUARD,training,5,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_GUARD5.mp4
GUARD,training,40,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_GUARD40.mp4
GUARD,training,60,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_GUARD60.mp4
GUARD,training,100,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_GUARD100.mp4
CARD,training,5,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_CARD5.mp4
CARD,training,40,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_CARD40.mp4
CARD,training,60,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_CARD60.mp4
CARD,training,100,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_CARD100.mp4
BARK-PARK,baseline,na,1,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_1-w-audio.mp4
BARK-PARK,baseline,na,2,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_2-w-audio.mp4
BARK-PARK,baseline,na,3,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_3-w-audio.mp4
BARK-PARK,baseline,na,4,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_4-w-audio.mp4
BARK-PARK,baseline,na,5,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_5-w-audio.mp4
BARK-PARK,baseline,na,6,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_6-w-audio.mp4
BARK-PARK,baseline,na,7,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_7-w-audio.mp4
BARK-PARK,baseline,na,8,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_8-w-audio.mp4
BARK-PARK,baseline,na,9,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_9-w-audio.mp4
DART-TART,baseline,na,1,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_1-w-audio.mp4
DART-TART,baseline,na,2,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_2-w-audio.mp4
DART-TART,baseline,na,3,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_3-w-audio.mp4
DART-TART,baseline,na,4,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_4-w-audio.mp4
DART-TART,baseline,na,5,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_5-w-audio.mp4
DART-TART,baseline,na,6,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_6-w-audio.mp4
DART-TART,baseline,na,7,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_7-w-audio.mp4
DART-TART,baseline,na,8,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_8-w-audio.mp4
DART-TART,baseline,na,9,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_9-w-audio.mp4
GUARD-CARD,baseline,na,1,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_1-w-audio.mp4
GUARD-CARD,baseline,na,2,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_2-w-audio.mp4
GUARD-CARD,baseline,na,3,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_3-w-audio.mp4
GUARD-CARD,baseline,na,4,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_4-w-audio.mp4
GUARD-CARD,baseline,na,5,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_5-w-audio.mp4
GUARD-CARD,baseline,na,6,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_6-w-audio.mp4
GUARD-CARD,baseline,na,7,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_7-w-audio.mp4
GUARD-CARD,baseline,na,8,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_8-w-audio.mp4
GUARD-CARD,baseline,na,9,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_9-w-audio.mp4